id,sku,name,description,tamanho,cor,modelo,acabamento,tipo
169,PS972,Conjunto Escova e Espelho em Prata,Conjunto em prata com acabamento coordenado.,"","","","",""
170,P17/3095,Bandeja de Cristal para Aperitivos em Prata,"Bandeja de Cristal para Aperitivos em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
171,P17/3096,Bandeja de Cristal para Aperitivos em Prata,"Bandeja de Cristal para Aperitivos em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
172,P17/3097,Bandeja de Cristal para Aperitivos em Prata,"Bandeja de Cristal para Aperitivos em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
173,P04007,Base para Garrafa em Prata,"Base para Garrafa em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
174,PAL1947,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
175,PAL1892,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
176,PAL1906,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
177,PAL1910,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
178,PAL1914,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
179,PAL2131,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
180,PAL2151,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
181,PAL2154,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
182,PAL2124,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
183,P15/0171,Moldura Prata Retangular Flores,Moldura em prata 925 com design elegante para exposição de fotografias.,"","","","",""
198,P14/0622,Moldura Prata Redondo Grega,Moldura em prata 925 com design elegante para exposição de fotografias.,"","",Redondo,"",""
208,P15/0609,Moldura Prata Retangular,Moldura em prata 925 com design elegante para exposição de fotografias.,"","","","",""
220,P24/3306,Moldura em Prata Capela Colunas,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
225,P24/3105-1,Moldura em Prata Capela Picotada,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
231,P07/02013,Moldura em Prata com Relógio,"Moldura decorativa em prata para 3 fotografias, com design cuidado e acabamento premium. Peça decorativa elegante com relógio e desenho de rosas.","","","","",""
237,P17/0120N,Moldura em Prata Retangular Executivo Cruzes,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
238,P17/0110N,Moldura em Prata Retangular Executivo Laços,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
240,P17/02012,Moldura em Prata Capela Dupla Rosinhas,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
241,P18/12013,Moldura Prata,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Dimensões: 6x9 cm. Ideal para celebrações de casamento.",6x9 cm,"",Casamento,"",""
242,P18/12213,Moldura Tripla com Placa Prata,"Moldura Tripla com Placa de prata decorativa para 3 fotografias, com design cuidado e acabamento premium. Dimensões: 6x9 cm.",6x9 cm,"","","",""
245,P17/0400,Moldura em Prata Retangular Lisa,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
248,P17/1800,Moldura em Prata Retangular Picotada,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
249,P15/0134,Moldura Prata Retangular Palmeira,Moldura em prata 925 com design elegante para exposição de fotografias.,"","","","",""
260,P15/0813,Moldura em Prata Retangular Amora,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
261,P15/1291,Moldura em Prata Retangular,"Moldura decorativa em prata para fotografias com Flor Turquesa, com design cuidado e acabamento premium.","","","","",""
263,P16/0548A,Moldura em Prata Oval Lisa,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","",Oval,"",""
264,P42/0305,Moldura em Prata Retangular Laço,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","",Rectangular,"",""
266,P42/0404,Moldura em Prata Retangular Lisa,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
267,P45/0236C,Moldura em Prata Criança Casa Urso,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Peça ideal para oferta a crianças.","","","","",""
270,P45/0490C,Moldura em Prata Retangular Criança Bonecos,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Peça ideal para oferta a crianças.","","","","",""
272,P45/0230,Moldura em Prata Retangular Criança,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Peça ideal para oferta a crianças.","","","","",""
274,P45/0235C,Moldura em Prata Retangular Criança Palhaço,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Peça ideal para oferta a crianças.","","","","",""
275,P45/0501,Moldura em Prata Retangular Criança Elefantes,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Peça ideal para oferta a crianças.","","","","",""
276,P45/0510,Moldura em Prata Retangular Criança Urso,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Peça ideal para oferta a crianças.","","","","",""
281,P24/5022,Moldura em Prata Retangular Criança Nascimento,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Ideal para celebrar o nascimento.","","","","",""
283,P45/0312,Moldura em Prata Retangular Comunhão,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Ideal para cerimónias de comunhão.","","","","",""
288,P50/0105,Placa Prata Retangular Parafusos com Madeira,Placa em prata para gravação personalizada.,"","","","",""
297,P02/1070,Tabuleiro Madeira com Aplicação Prata,Tabuleiro em prata com acabamento elegante. Peça funcional e decorativa para servir.,"","","","",""
300,P02/1003,Tabuleiro Madeira com Aplicação Prata,Tabuleiro em prata com acabamento elegante. Peça funcional e decorativa para servir.,"","","","",""
304,P02/1065,Tabuleiro Madeira com Aplicação Prata,Tabuleiro em prata com acabamento elegante. Peça funcional e decorativa para servir.,"","","","",""
305,P02/4000,Jarrão Madeira com Prata,"Jarrão Madeira com Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
306,P02/4001,Jarrão Madeira com Prata,"Jarrão Madeira com Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
307,P02/4010,Jarrão Madeira com Prata,"Jarrão Madeira com Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
308,P02/4011,Jarrão Madeira com Prata,"Jarrão Madeira com Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
309,P02/4020,Jarrão Madeira com Prata,"Jarrão Madeira com Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
310,P02/4021,Jarrão Madeira com Prata,"Jarrão Madeira com Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
311,P02/4050,Solitário Madeira com Prata,Solitário em prata com acabamento refinado. Altura: 22 cm. Peça decorativa elegante para exposição floral.,Altura 22 cm,"","","",""
312,P02/4051,Solitário Madeira com Prata,Solitário em prata com acabamento refinado. Altura: 24 cm. Peça decorativa elegante para exposição floral.,Altura 24 cm,"","","",""
313,P02/4052,Solitário Madeira com Prata,Solitário em prata com acabamento refinado. Altura: 24 cm. Peça decorativa elegante para exposição floral.,Altura 24 cm,"","","",""
317,P02/3120,Porta-Velas Madeira com Prata,Vela decorativa em prata com detalhes refinados. Peça decorativa elegante.,"","","","",""
318,P03/4005,Guarda-Jóias Madeira com Prata,"Guarda-Jóias em prata com interior forrado, ideal para proteger e organizar Jóias e acessórios.","","","","",""
326,P07/0201,Relógio Despertador em Prata Capela,Relógio em prata com mecanismo de qualidade. Peça clássica de ourivesaria.,"","","","",""
327,P07/1213,Relógio Despertador em Prata Capela,Relógio em prata com mecanismo de qualidade. Peça clássica de ourivesaria.,"","","","",""
328,P06/0411,Relógio Despertador em Prata Oval Liso,Relógio em prata com mecanismo de qualidade. Peça clássica de ourivesaria.,"","",Oval,"",""
330,P47/9531,Relógio Despertador em Prata Retangular com Pêndulo Cruzes,Relógio em prata com mecanismo de qualidade. Peça clássica de ourivesaria.,"","","","",""
331,P47/9801,Relógio Despertador em Prata Retangular com Pêndulo Picotado,Relógio em prata com mecanismo de qualidade. Peça clássica de ourivesaria.,"","","","",""
333,P07/1203,Relógio Despertador em Prata Capela Rosinhas,Relógio em prata com mecanismo de qualidade. Peça clássica de ourivesaria.,"","","","",""
334,P47/0460,Relógio Despertador em Prata Retangular,Relógio em prata com mecanismo de qualidade. Peça clássica de ourivesaria.,"","","","",""
336,P07/9221,Relógio Despertador em Prata Capela com Pêndulo Picotado,Relógio em prata com mecanismo de qualidade. Peça clássica de ourivesaria.,"","","","",""
342,P0971B,Moldura em Prata Retangular Lisa,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
373,P74890,Salva em Prata Retangular,"Salva em prata, peça clássica de ourivesaria para servir e decorar a mesa.","","","","",""
375,P74893,Salva em Prata Redonda,"Salva em prata, peça clássica de ourivesaria para servir e decorar a mesa.","","","","",""
382,P466QP.5,Moldura em Prata Retangular,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
404,P2860,Moldura em Prata Irregular Riscado,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
405,P5017105LL,Moldura em Prata Retangular Lisa,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
406,P352F.13,Guarda-Jóias Prata,"Guarda-Jóias em prata com interior forrado, ideal para proteger e organizar Jóias e acessórios.","","","","",""
412,P03/1001,Guarda-Jóias Prata Madeira Retangular,"Guarda-Jóias em prata com interior forrado, ideal para proteger e organizar Jóias e acessórios.","","","","",""
413,P03/2020,Guarda-Jóias Prata Madeira Oval,"Guarda-Jóias em prata com interior forrado, ideal para proteger e organizar Jóias e acessórios.","","",Oval,"",""
414,P03/1022,Guarda-Jóias Prata Madeira Retangular,"Guarda-Jóias em prata com interior forrado, ideal para proteger e organizar Jóias e acessórios.","","","","",""
415,P03/1012,Guarda-Jóias Prata Madeira Retangular,"Guarda-Jóias em prata com interior forrado, ideal para proteger e organizar Jóias e acessórios.","","","","",""
416,P03/2011,Guarda-Jóias Prata Madeira,"Guarda-Jóias em prata com interior forrado, ideal para proteger e organizar Jóias e acessórios.","","","","",""
417,P03/2041,Guarda-Jóias Prata Madeira,"Guarda-Jóias em prata com interior forrado, ideal para proteger e organizar Jóias e acessórios.","","","","",""
418,P156AG.6,Moldura em Prata Retangular Casamento,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Ideal para celebrações de casamento.","","",Casamento,"",""
421,P465QM.10,Moldura em Prata Retangular Casamento,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Ideal para celebrações de casamento.","","",Casamento,"",""
422,P907B,Moldura de Prata Retangular,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
426,P1508,Porta-Velas Prata,Vela decorativa em prata com detalhes refinados. Altura: 8 cm. Peça decorativa elegante.,Altura 8 cm,"","","",""
427,P1653,Porta-Velas Prata,Vela decorativa em prata com detalhes refinados. Altura: 11 cm. Peça decorativa elegante.,Altura 11 cm,"","","",""
428,P1654,Porta-Velas Prata,Vela decorativa em prata com detalhes refinados. Altura: 12 cm. Peça decorativa elegante.,Altura 12 cm,"","","",""
430,PS951,Espelho em Prata,"Espelho em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
431,PS971,Espelho em Prata,"Espelho em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
434,P4801,Porta-Cartas em Prata,"Porta-Cartas em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
435,P903,Lupa em Prata,"Lupa em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
436,P259,Foco em Prata,"Foco em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
437,P88,Espelho e Pente de Bolso em Prata,"Espelho e Pente de Bolso em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
438,P60GHO.9,Imagem em Prata,Imagem religiosa em prata com acabamento detalhado. Peça devocional elegante para decoração.,"","","","",""
444,P15/0215,Moldura Prata Retangular Folha,Moldura em prata 925 com design elegante para exposição de fotografias.,"","","","",""
465,AK2058/10,Kit Com10 Rosa + Jarra,Jarra decorativa com acabamento elegante. Peça decorativa elegante.,"","","","",""
467,AK2216/6,Kit Perfumadores Com6 Peças + Base,Perfumador decorativo. Peça elegante para ambientar e decorar espaços.,"","","","",""
471,AK2075/8,Kit Completo 8 Peças,"Kit Completo 8 Peças. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
472,B090379,Porta-Velas Perfumada,Vela decorativa com detalhes refinados. Peça decorativa elegante.,"","","","",""
473,AK1869/12,Kit 12 Mini Rosas Perfumadas,"Rosa decorativa com detalhes realistas. Peça elegante e delicada, ideal para oferta ou decoração.","","","","",""
476,AK1814/12,Kit Completo 12 Peças,"Kit Completo 12 Peças. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
478,AE6356,Perfumador,"Perfumador decorativo. Dimensões: 9,9x10,5 cm. Peça elegante para ambientar e decorar espaços.","","","","",""
480,AE6292,Perfumador,Perfumador decorativo. Peça elegante para ambientar e decorar espaços.,"","","","",""
481,AE6300,Perfumador,Perfumador decorativo. Peça elegante para ambientar e decorar espaços.,"","","","",""
484,A00040,Mealheiro Cão,"Mealheiro decorativo com motivo de cão. Dimensões: 12x11 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
485,A00042,Mealheiro Elefante,"Mealheiro decorativo com motivo de elefante. Dimensões: 13x12 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
486,A0005,Mealheiro Elefante,"Mealheiro decorativo com motivo de elefante. Dimensões: 19,5x10 cm. Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
487,BA518,Mealheiro Porco,"Mealheiro decorativo. Dimensões: 8x13 cm. Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
488,BA0001,Mealheiro Porco,"Mealheiro decorativo. Dimensões: 9,5x8,5 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
489,A00017,Mealheiro Cão,"Mealheiro decorativo com motivo de cão. Dimensões: 11x12 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.",11x12 cm,"","","",""
490,A00045C,Mealheiro Carro,"Mealheiro decorativo. Dimensões: 12,5x8 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.",12.5x8 cm,"","","",""
491,A00046C,Mealheiro Carro,"Mealheiro decorativo. Dimensões: 15,5x9,5 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
492,A00019,Mealheiro Carro,"Mealheiro decorativo. Dimensões: 13,5x6,5 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
493,A00020,Mealheiro Carro,"Mealheiro decorativo. Dimensões: 13,5x6,5 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
494,A00026C,Mealheiro Carro,"Mealheiro decorativo. Dimensões: 17x7,5 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
495,A00027C,Mealheiro Carro,"Mealheiro decorativo. Dimensões: 20x10 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
496,BA528,Mealheiro Vespa,"Mealheiro decorativo. Dimensões: 14x8,5 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
497,A00025C,Mealheiro Mota,"Mealheiro decorativo. Dimensões: 16,5x11 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
498,A00021,Mealheiro,"Mealheiro decorativo. Dimensões: 17x13 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.",17x13 cm,"","","",""
499,A00022,Mealheiro,"Mealheiro decorativo. Dimensões: 17x13 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.",17x13 cm,"","","",""
500,BA00056,Mealheiro,"Mealheiro decorativo. Altura: 7,5 cm. Peça funcional e decorativa, ideal para oferta a crianças.",7.5 cm,"","","",""
501,BA00057,Mealheiro,"Mealheiro decorativo. Altura: 7 cm. Peça funcional e decorativa, ideal para oferta a crianças.",7 cm,"","","",""
502,BA00054,Mealheiro,"Mealheiro decorativo. Altura: 9 cm. Peça funcional e decorativa, ideal para oferta a crianças.",Altura 9 cm,"","","",""
503,BA00085C,Mealheiro,"Mealheiro decorativo. Altura: 9 cm. Peça funcional e decorativa, ideal para oferta a crianças.",Altura 9 cm,"","","",""
504,BA524,Mealheiro Biberon,"Mealheiro decorativo. Dimensões: 7,5x12 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
505,BA00015,Mealheiro Cegonha,"Mealheiro decorativo com motivo de cegonha. Dimensões: 13x12 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
506,A00029C,Mealheiro Fada,"Mealheiro decorativo. Dimensões: 16x16 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
507,A00028C,Mealheiro Bailarina,"Mealheiro decorativo. Dimensões: 16x16 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
508,BA00062R,Mealheiro Bailarina,"Mealheiro decorativo. Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
509,BA00083,Mealheiro Bailarina,"Mealheiro decorativo. Dimensões: 9,5x10 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
510,BN521M,Mealheiro,"Mealheiro decorativo. Dimensões: 13x9 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.",13x9 cm,"","","",""
511,BA4358DAZ,Mealheiro,"Mealheiro decorativo. Dimensões: 9x13 cm. Peça funcional e decorativa, ideal para oferta a crianças.",9x13 cm,Azul,"","",""
512,BA00058R,Mealheiro,"Mealheiro decorativo. Dimensões: 7x9,5 cm (altura). Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
514,B4089RO,Mealheiro Madeira,"Mealheiro decorativo em madeira. Altura: 12 cm. Peça funcional e decorativa, ideal para oferta a crianças.",Altura 12 cm,Rosa,"","",""
520,BA16M,Anjo Iluminado,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensão: 11 cm.",Altura 11 cm,"","","",""
522,BN132/E,Anjo Iluminado,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 9x7 cm.","","","","",""
523,BN071MS,Anjo Iluminado,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 7x6 cm.","","","","",""
524,BN113MS,Anjo Iluminado,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 9x7 cm.","","","","",""
525,BA1636M,Anjo da Guarda,"Figura decorativa de anjo, com acabamento delicado e expressivo. Altura: 7,5 cm.",Altura 7.5 cm,"","","",""
526,BA1639M,Anjo da Guarda,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 8,5x7 cm (altura).","","","","",""
527,BA20M,Anjo da Guarda,"Figura decorativa de anjo, com acabamento delicado e expressivo.","","","","",""
528,BA21M,Anjo da Guarda,"Figura decorativa de anjo, com acabamento delicado e expressivo.","","","","",""
529,BA23M,Anjo da Guarda,"Figura decorativa de anjo, com acabamento delicado e expressivo.","","","","",""
530,BA25M,Anjo da Guarda,"Figura decorativa de anjo, com acabamento delicado e expressivo.","","","","",""
531,BA24M,Anjo da Guarda,"Figura decorativa de anjo, com acabamento delicado e expressivo.","","","","",""
532,A1822MO,Anjo,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 7x13,5 cm (altura).","","","","",""
533,A1823MO,Anjo,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 7x13,5 cm (altura).","","","","",""
534,A1821MO,Anjo,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 7x13,5 cm (altura).","","","","",""
535,A1824MO,Anjo,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 7x13,5 cm (altura).","","","","",""
536,A1462MO,Anjo,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 8x6,5 cm (altura).","","","","",""
537,A1465MO,Anjo,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 9x10,5 cm (altura).","","","","",""
538,A1467MO,Anjo,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 9x10,5 cm (altura).","","","","",""
539,A1461MO,Anjo,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 8x6,5 cm (altura).","","","","",""
540,A1466MO,Anjo,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 9x10,5 cm (altura).","","","","",""
541,A1463MO,Anjo,"Figura decorativa de anjo, com acabamento delicado e expressivo. Dimensões: 8x6,5 cm (altura).","","","","",""
542,B22209,Caixa de Música,"Caixa decorativa com acabamento cuidado. Dimensões: 15x11,5 cm.",15x11.5 cm,"","","",""
544,B22171,Mealheiro com Música,"Mealheiro decorativo. Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
545,B22170,Mealheiro com Música,"Mealheiro decorativo. Peça funcional e decorativa, ideal para oferta a crianças.","","","","",""
546,B20225,Boneca com Cegonha,"Boneca com Cegonha em bilaminado. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
547,B28002A,Caixa de Música,Caixa decorativa com acabamento cuidado.,"","","","",""
548,B22007,Caixa Bailarina Commúsica,"Caixa decorativa com acabamento cuidado. Dimensões: 14,5x10 cm.","","","","",""
549,B28075F,Caixa Bailarina Commúsica,"Caixa decorativa com acabamento cuidado. Dimensões: 14,5x11 cm.","","","","",""
550,B22045,Caixa Bailarina Commúsica,"Caixa decorativa com acabamento cuidado. Dimensões: 14,5x10 cm.","","","","",""
551,B22133L,Caixa Bailarina Commúsica e Gaveta,Caixa decorativa com acabamento cuidado. Dimensões: 11x11 cm.,"","","","",""
552,B22155C,Caixa Bailarina Commúsica e Gaveta,Caixa decorativa com acabamento cuidado. Dimensões: 11x11 cm.,"","","","",""
553,B28010,Caixa Bailarina Commúsica e Gaveta,Caixa decorativa com acabamento cuidado. Dimensões: 11x11 cm.,"","","","",""
554,B28079,Caixa Bailarina Commúsica e Gaveta,Caixa decorativa com acabamento cuidado. Dimensões: 11x11 cm.,"","","","",""
555,B28050TR,Caixa Bailarina Commúsica,"Caixa decorativa com acabamento cuidado. Dimensões: 14,5x10 cm.","","","","",""
556,B28032,Caixa Bailarina Commúsica e Gaveta,Caixa decorativa com acabamento cuidado. Dimensões: 19x12 cm.,"","","","",""
557,B28065T,Caixa Bailarina Commúsica e Gaveta,Caixa decorativa com acabamento cuidado. Dimensões: 19x12 cm.,"","","","",""
